iter	Passed	Remaining
0	169	168839
1	178	88906
2	186	61875
3	194	48471
4	204	40626
5	214	35561
6	223	31713
7	232	28858
8	240	26499
9	248	24552
10	255	23014
11	264	21807
12	272	20723
13	280	19744
14	287	18884
15	298	18328
16	307	17769
17	316	17274
18	333	17237
19	344	16896
20	352	16419
21	360	16038
22	369	15682
23	379	15429
24	389	15204
25	406	15214
26	413	14915
27	422	14651
28	432	14488
29	440	14255
30	448	14006
31	454	13756
32	465	13635
33	472	13434
34	481	13276
35	491	13159
36	499	13001
37	507	12846
38	515	12697
39	524	12595
40	533	12478
41	541	12358
42	549	12230
43	559	12148
44	568	12059
45	576	11961
46	586	11887
47	596	11834
48	609	11821
49	618	11745
50	626	11650
51	635	11589
52	644	11518
53	654	11464
54	666	11448
55	673	11358
56	681	11280
57	690	11217
58	698	11138
59	705	11045
60	712	10960
61	723	10939
62	730	10866
63	737	10787
64	748	10761
65	757	10723
66	765	10659
67	772	10593
68	781	10545
69	789	10494
70	798	10447
71	805	10387
72	815	10356
73	823	10302
74	831	10257
75	840	10218
76	850	10193
77	862	10189
78	869	10134
79	878	10103
80	886	10058
81	894	10017
82	903	9979
83	912	9955
84	922	9932
85	935	9941
86	944	9916
87	954	9889
88	962	9854
89	972	9837
90	985	9844
91	994	9811
92	1003	9786
93	1015	9791
94	1026	9779
95	1036	9759
96	1049	9768
97	1056	9728
98	1063	9681
99	1070	9633
100	1080	9619
101	1088	9578
102	1094	9532
103	1105	9528
104	1116	9519
105	1126	9504
106	1135	9473
107	1144	9453
108	1153	9426
109	1160	9387
110	1171	9380
111	1179	9350
112	1187	9319
113	1195	9292
114	1205	9277
115	1214	9254
116	1222	9223
117	1229	9190
118	1238	9166
119	1246	9143
120	1255	9116
121	1262	9088
122	1271	9068
123	1280	9049
124	1290	9034
125	1297	9000
126	1307	8989
127	1319	8986
128	1334	9012
129	1346	9007
130	1356	8997
131	1371	9015
132	1384	9023
133	1392	9000
134	1403	8993
135	1416	8999
136	1427	8989
137	1441	9006
138	1452	8996
139	1468	9023
140	1485	9048
141	1500	9064
142	1529	9167
143	1556	9251
144	1575	9288
145	1587	9287
146	1601	9294
147	1612	9285
148	1623	9270
149	1633	9258
150	1642	9234
151	1650	9209
152	1660	9194
153	1668	9166
154	1676	9138
155	1683	9109
156	1693	9092
157	1700	9064
158	1708	9036
159	1715	9007
160	1724	8985
161	1735	8974
162	1742	8950
163	1750	8923
164	1758	8901
165	1766	8876
166	1776	8862
167	1785	8843
168	1795	8828
169	1803	8805
170	1810	8777
171	1822	8772
172	1832	8758
173	1841	8742
174	1849	8720
175	1859	8704
176	1869	8691
177	1883	8697
178	1898	8706
179	1913	8716
180	1925	8712
181	1937	8707
182	1955	8729
183	1972	8748
184	1990	8766
185	2005	8777
186	2026	8808
187	2037	8798
188	2045	8778
189	2055	8762
190	2066	8753
191	2075	8733
192	2085	8719
193	2095	8707
194	2103	8681
195	2110	8656
196	2119	8639
197	2130	8628
198	2140	8614
199	2149	8596
200	2157	8575
201	2167	8563
202	2176	8546
203	2187	8536
204	2197	8522
205	2206	8503
206	2216	8490
207	2227	8482
208	2246	8501
209	2254	8480
210	2263	8465
211	2273	8449
212	2285	8443
213	2292	8420
214	2299	8397
215	2307	8373
216	2316	8359
217	2324	8338
218	2331	8314
219	2339	8292
220	2347	8275
221	2357	8260
222	2366	8244
223	2372	8218
224	2381	8204
225	2389	8182
226	2397	8162
227	2404	8139
228	2415	8131
229	2422	8111
230	2430	8091
231	2439	8075
232	2448	8061
233	2457	8044
234	2465	8025
235	2474	8010
236	2482	7992
237	2489	7971
238	2497	7951
239	2506	7936
240	2514	7919
241	2521	7899
242	2529	7880
243	2539	7868
244	2548	7852
245	2556	7835
246	2564	7817
247	2573	7804
248	2582	7789
249	2590	7771
250	2598	7753
251	2608	7742
252	2616	7724
253	2625	7712
254	2635	7699
255	2643	7681
256	2650	7663
257	2658	7645
258	2667	7632
259	2675	7614
260	2683	7596
261	2690	7578
262	2699	7565
263	2707	7548
264	2717	7536
265	2724	7518
266	2733	7504
267	2741	7487
268	2749	7471
269	2756	7453
270	2767	7443
271	2776	7430
272	2783	7413
273	2792	7397
274	2801	7386
275	2813	7381
276	2821	7364
277	2830	7349
278	2838	7334
279	2846	7318
280	2854	7302
281	2862	7288
282	2870	7273
283	2877	7255
284	2884	7237
285	2892	7222
286	2902	7211
287	2910	7196
288	2917	7178
289	2927	7166
290	2935	7151
291	2942	7135
292	2949	7118
293	2956	7100
294	2965	7087
295	2973	7072
296	2981	7058
297	2991	7048
298	3000	7033
299	3007	7017
300	3015	7001
